Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2020-01-02 00:00:00-05:00,155.74542674373893,156.4995198959323,155.35405512147568,155.90769958496094,22500,0.0,0.0,False
2020-01-03 00:00:00-05:00,154.2372165193134,155.83132387326546,154.2372165193134,155.27767944335938,18900,0.0,0.0,False
2020-01-06 00:00:00-05:00,154.01767099072205,155.54495239257812,153.89357400583967,155.54495239257812,25400,0.0,0.0,False
2020-01-07 00:00:00-05:00,156.81450207167416,157.0531411379587,156.42313050727805,157.02450561523438,41100,0.0,0.0,False
2020-01-08 00:00:00-05:00,158.89545791200982,161.62548968109166,158.89545791200982,161.13865661621094,23300,0.0,0.0,False
2020-01-09 00:00:00-05:00,163.51548910726572,164.73731994628906,163.51548910726572,164.73731994628906,114200,0.0,0.0,False
2020-01-10 00:00:00-05:00,164.74686325478024,164.74686325478024,163.5918583239096,163.67776489257812,64900,0.0,0.0,False
2020-01-13 00:00:00-05:00,164.08821168092126,165.1573245732041,163.90685823039863,165.1382293701172,56400,0.0,0.0,False
2020-01-14 00:00:00-05:00,166.09279982583385,166.7800815420672,165.86370106529822,166.45553588867188,31400,0.0,0.0,False
2020-01-15 00:00:00-05:00,167.58190504247202,168.34555301078908,167.3146304383671,168.25009155273438,59000,0.0,0.0,False
2020-01-16 00:00:00-05:00,167.5437276969678,167.8491781423331,166.7037134828098,167.77281188964844,36500,0.0,0.0,False
2020-01-17 00:00:00-05:00,165.03323240834416,165.38641356619206,164.37458625369712,165.08096313476562,37900,0.0,0.0,False
2020-01-21 00:00:00-05:00,164.85187728927673,165.23370856515965,164.21232628821843,165.04278564453125,29800,0.0,0.0,False
2020-01-22 00:00:00-05:00,166.7705468610823,167.03782147472393,166.1023457616042,166.57008361816406,30500,0.0,0.0,False
2020-01-23 00:00:00-05:00,164.8900459790181,165.09049462774993,163.80185247550094,164.75640869140625,27700,0.0,0.0,False
2020-01-24 00:00:00-05:00,165.40550091772593,166.22641985093722,163.40092702616735,163.43911743164062,71600,0.0,0.0,False
2020-01-27 00:00:00-05:00,158.7808891365231,159.37272393836744,157.41588063875903,157.759521484375,38700,0.0,0.0,False
2020-01-28 00:00:00-05:00,157.87408028777452,159.17227755691061,157.63544119098754,158.54226684570312,28000,0.0,0.0,False
2020-01-29 00:00:00-05:00,155.99358579410355,156.0890472484145,154.95312294282988,155.13449096679688,49000,0.0,0.0,False
2020-01-30 00:00:00-05:00,154.92450911049085,155.59269568810095,154.01768342906465,155.11541748046875,41500,0.0,0.0,False
2020-01-31 00:00:00-05:00,153.86494566570929,153.93175703850693,150.44763206762428,150.97264099121094,38100,0.0,0.0,False
2020-02-03 00:00:00-05:00,149.52169622572433,150.77216263134054,149.52169622572433,150.5335235595703,29400,0.0,0.0,False
2020-02-04 00:00:00-05:00,153.99855164535296,154.40900381504775,153.27309418559466,153.95082092285156,51200,0.0,0.0,False
2020-02-05 00:00:00-05:00,152.98674052440157,153.19674407322248,152.20399737600124,153.07264709472656,36100,0.0,0.0,False
2020-02-06 00:00:00-05:00,152.31856875608761,152.31856875608761,151.73628878087706,152.02264404296875,39200,0.0,0.0,False
2020-02-07 00:00:00-05:00,151.70763215559288,151.8890001906895,150.6194385103871,150.7721710205078,26500,0.0,0.0,False
2020-02-10 00:00:00-05:00,150.18035509408065,150.79127058685876,148.69124949076993,149.35943603515625,27800,0.0,0.0,False
2020-02-11 00:00:00-05:00,148.8917081348492,149.90353562196796,148.50035106754635,149.63626098632812,81300,0.0,0.0,False
2020-02-12 00:00:00-05:00,151.51672074971682,151.76491471500884,150.8962649672339,151.52627563476562,48000,0.0,0.0,False
2020-02-13 00:00:00-05:00,148.53849098847598,149.45487135000369,147.6412058292683,149.2162322998047,27100,0.0,0.0,False
2020-02-14 00:00:00-05:00,150.0848759328385,150.2089729069387,148.98714206546327,149.01577758789062,25300,0.0,0.0,False
2020-02-18 00:00:00-05:00,147.04940479128672,147.77486235481123,146.94440301291323,147.1448516845703,42200,0.0,0.0,False
2020-02-19 00:00:00-05:00,150.03716252302144,151.13491108246205,150.03716252302144,150.84854125976562,34900,0.0,0.0,False
2020-02-20 00:00:00-05:00,148.53850727564324,149.2639648242604,146.66757050817236,147.89895629882812,27200,0.0,0.0,False
2020-02-21 00:00:00-05:00,147.33577352260656,147.73668542835753,145.49347225470783,146.142578125,30300,0.0,0.0,False
2020-02-24 00:00:00-05:00,137.49429107506205,138.64931067429757,136.37746188666648,136.40609741210938,51800,0.0,0.0,False
2020-02-25 00:00:00-05:00,140.08114950405178,140.31978860031083,135.67110366610473,135.7379150390625,67400,0.0,0.0,False
2020-02-26 00:00:00-05:00,137.23656304627355,138.22929518746196,134.24879717251594,135.11744689941406,51300,0.0,0.0,False
2020-02-27 00:00:00-05:00,134.84064091805968,136.3011111433665,133.13199125554328,133.25608825683594,89400,0.0,0.0,False
2020-02-28 00:00:00-05:00,129.27553919781695,132.83604431152344,127.91053082295046,132.83604431152344,293400,0.0,0.0,False
2020-03-02 00:00:00-05:00,132.18694472002036,132.46377418765948,129.64783617818154,131.241943359375,360000,0.0,0.0,False
2020-03-03 00:00:00-05:00,134.7547203441694,136.41565366335837,131.26104055141386,132.4637908935547,151100,0.0,0.0,False
2020-03-04 00:00:00-05:00,134.000635787115,136.072021484375,132.59743667520092,136.072021484375,110200,0.0,0.0,False
2020-03-05 00:00:00-05:00,132.6451521967526,133.74288613496842,131.165586992577,131.95787048339844,111600,0.0,0.0,False
2020-03-06 00:00:00-05:00,129.46648355171496,130.90785840937545,128.7123758719636,130.0583038330078,325900,0.0,0.0,False
2020-03-09 00:00:00-04:00,124.46459899896533,125.32369386783405,121.68684387207031,121.68684387207031,69400,0.0,0.0,False
2020-03-10 00:00:00-04:00,124.73186675304925,124.88459925279585,119.14771399874832,123.65321350097656,61600,0.0,0.0,False
2020-03-11 00:00:00-04:00,110.48988512364137,110.48988512364137,105.56437141423287,106.87211608886719,272500,0.0,0.0,False
2020-03-12 00:00:00-04:00,97.2597427691567,97.32656142018531,86.8646250369145,91.58967590332031,418600,0.0,0.0,False
2020-03-13 00:00:00-04:00,97.54611392771936,97.54611392771936,89.6232934565934,92.87833404541016,422000,0.0,0.0,False
2020-03-16 00:00:00-04:00,89.30828479852038,97.011553822421,88.93600842538174,90.12920379638672,442900,0.0,0.0,False
2020-03-17 00:00:00-04:00,90.88329638060151,92.59195287983206,89.80465047912918,90.87374877929688,185400,0.0,0.0,False
2020-03-18 00:00:00-04:00,89.70920230508057,90.49193816255554,83.66685931114706,85.9959716796875,397500,0.0,0.0,False
2020-03-19 00:00:00-04:00,89.2701052152818,92.84015115053518,88.3250964830968,90.11966705322266,276000,0.0,0.0,False
2020-03-20 00:00:00-04:00,97.77520505573754,99.29294612292439,90.68285124105103,92.5728759765625,424100,0.0,0.0,False
2020-03-23 00:00:00-04:00,92.36287166942284,94.68244382101925,91.83786277973952,92.33423614501953,152600,0.0,0.0,False
2020-03-24 00:00:00-04:00,98.44338624314815,101.64115559782893,97.55564861406923,100.75341796875,67200,0.0,0.0,False
2020-03-25 00:00:00-04:00,107.47348594016448,110.73807388792571,105.95574498072462,109.29669189453125,158800,0.0,0.0,False
2020-03-26 00:00:00-04:00,110.0794325107885,114.04084262262151,109.3253321579062,113.79265594482422,69000,0.0,0.0,False
2020-03-27 00:00:00-04:00,110.36579747026013,112.3703641609451,108.57122703944668,109.51624298095703,75100,0.0,0.0,False
2020-03-30 00:00:00-04:00,106.91029610767542,110.23215494111716,106.2707451913045,109.79305267333984,63500,0.0,0.0,False
2020-03-31 00:00:00-04:00,108.00805099469447,109.21079401854038,105.97484133584048,106.4043960571289,44500,0.0,0.0,False
2020-04-01 00:00:00-04:00,103.62663285026584,104.91528972186464,102.24252908489498,102.882080078125,53200,0.0,0.0,False
2020-04-02 00:00:00-04:00,102.50979879676485,103.46435508114311,100.55295550071486,100.99205780029297,42700,0.0,0.0,False
2020-04-03 00:00:00-04:00,97.86110858980805,98.12839047104137,96.40063861725883,97.2215576171875,82300,0.0,0.0,False
2020-04-06 00:00:00-04:00,102.15661849547618,104.5716522049782,101.79388970025656,104.14209747314453,105400,0.0,0.0,False
2020-04-07 00:00:00-04:00,110.82398569140405,110.82398569140405,106.99621286445466,107.53076934814453,55100,0.0,0.0,False
2020-04-08 00:00:00-04:00,111.55899237662622,113.03855020535477,110.31806632945984,112.49445343017578,63600,0.0,0.0,False
2020-04-09 00:00:00-04:00,116.16950010769996,118.59407401097954,115.90222550591409,118.58453369140625,46200,0.0,0.0,False
2020-04-13 00:00:00-04:00,118.59407459387954,118.59407459387954,113.59220154000955,116.06449890136719,46000,0.0,0.0,False
2020-04-14 00:00:00-04:00,116.83768828979149,120.111816569972,116.66586787078808,118.99498748779297,67500,0.0,0.0,False
2020-04-15 00:00:00-04:00,113.17219650724343,113.3153814137273,111.1294465372885,111.9217300415039,75000,0.0,0.0,False
2020-04-16 00:00:00-04:00,110.91943291846329,110.91943291846329,108.28486292193674,109.93624114990234,84700,0.0,0.0,False
2020-04-17 00:00:00-04:00,114.04083926947789,114.5467529296875,112.59945725596044,114.5467529296875,73200,0.0,0.0,False
2020-04-20 00:00:00-04:00,113.344016461251,115.55858685312474,112.95265215337562,114.0026626586914,49300,0.0,0.0,False
2020-04-21 00:00:00-04:00,111.07217755705656,112.64719699234807,109.37306841793355,110.09852600097656,52700,0.0,0.0,False
2020-04-22 00:00:00-04:00,107.3398666381836,107.53078229201355,106.19440184595393,107.3398666381836,50000,0.0,0.0,False
2020-04-23 00:00:00-04:00,106.88166259373287,108.87668162537739,105.59301313548507,105.95574188232422,43900,0.0,0.0,False
2020-04-24 00:00:00-04:00,105.62165884123918,107.48304076232776,104.51437000830366,106.97712707519531,31400,0.0,0.0,False
2020-04-27 00:00:00-04:00,104.50482733798813,107.69304189679475,104.04663710781016,107.0057601928711,57600,0.0,0.0,False
2020-04-28 00:00:00-04:00,107.74077942295202,107.81713839722735,105.00120003659354,105.71711730957031,62200,0.0,0.0,False
2020-04-29 00:00:00-04:00,108.97215478148144,110.79535359570939,108.62851391800729,110.5853500366211,117200,0.0,0.0,False
2020-04-30 00:00:00-04:00,109.43988491920298,110.04125278658948,107.91259624455618,109.01033020019531,97700,0.0,0.0,False
2020-05-01 00:00:00-04:00,107.77895450667785,108.61896142250407,106.17529964360118,107.0534896850586,38800,0.0,0.0,False
2020-05-04 00:00:00-04:00,101.22115671518539,103.84618669032187,100.81069719140203,103.37845611572266,199600,0.0,0.0,False
2020-05-05 00:00:00-04:00,102.02298154125262,103.40709263837591,101.8607087072514,102.80571746826172,76900,0.0,0.0,False
2020-05-06 00:00:00-04:00,102.92982264061939,103.65528029125572,102.36663055419922,102.36663055419922,38100,0.0,0.0,False
2020-05-07 00:00:00-04:00,108.02714008600796,108.58078451533763,107.16803791682173,108.21805572509766,67800,0.0,0.0,False
2020-05-08 00:00:00-04:00,107.44486718451397,108.12260136172537,106.92940584916569,107.3875961303711,145700,0.0,0.0,False
2020-05-11 00:00:00-04:00,106.44258333557674,106.87213079092973,105.25892818792964,106.04166412353516,93600,0.0,0.0,False
2020-05-12 00:00:00-04:00,106.42348174997957,106.42348174997957,103.82708740234375,103.82708740234375,94600,0.0,0.0,False
2020-05-13 00:00:00-04:00,103.49298641735255,103.49298641735255,101.08750788242165,101.66024017333984,51000,0.0,0.0,False
2020-05-14 00:00:00-04:00,98.37656901369567,101.60297393798828,97.6224686699316,101.60297393798828,55100,0.0,0.0,False
2020-05-15 00:00:00-04:00,103.13981174352746,103.87481689453125,102.77707568644351,103.87481689453125,47700,0.0,0.0,False
2020-05-18 00:00:00-04:00,109.00078285193484,112.87627897945916,109.00078285193484,112.59945678710938,69400,0.0,0.0,False
2020-05-19 00:00:00-04:00,113.56356642034494,114.22221261082008,112.18900299072266,112.18900299072266,70700,0.0,0.0,False
